State,Parliamentary Constituency,,Winner,,,,,Runner-up,,,,,Margin
,No.,Name,Candidate,Party,,%,Votes,Candidate,Party,,Votes,%,Votes
,25,Navsari,C. R. Patil,,BJP,77.05,"10,31,065",Naishadh Desai,,INC,"2,57,514",19.24,773551
,26,Valsad,Dhaval Laxmanbhai Patel,,BJP,56.13,"7,64,226",Anantbhai Patel,,INC,"5,53,522",40.66,210704
Haryana,1,Ambala,Varun Chaudhary,,INC,49.28,"6,63,657",Banto Kataria,,BJP,"6,14,621",45.64,49036
,2,Kurukshetra,Naveen Jindal,,BJP,44.96,"5,42,175",Dr. Sushil Gupta,,AAP,"5,13,154",42.55,29021
,3,Sirsa,Selja Kumari,,INC,54.17,"7,33,823",Ashok Tanwar,,BJP,"4,65,326",34.35,"2,68,497"
,4,Hisar,Jai Parkash,,INC,48.58,"5,70,424",Ranjit Singh Chautala,,BJP,"5,07,043",43.19,63381
,5,Karnal,Manohar Lal Khattar,,BJP,54.93,"7,39,285",Divyanshu Budhiraja,,INC,"5,06,708",37.65,232577
,6,Sonipat,Satpal Brahamchari,,INC,48.82,"5,48,682",Mohan Lal Badoli,,BJP,"5,26,866",46.88,21816
,7,Rohtak,Deepender Singh Hooda,,INC,62.76,"7,83,578",Dr. Arvind Kumar Sharma,,BJP,"4,38,280",35.11,345298
,8,Bhiwani–Mahendraga,Dharambir Singh Chaudhary,,BJP,49.74,"5,88,664",Rao Dan Singh,,INC,"5,47,154",46.24,41510
,9,Gurgaon,Rao Inderjit Singh,,BJP,50.48,"8,08,336",Raj Babbar,,INC,"7,33,257",45.79,75079
,10,Faridabad,Krishan Pal Gurjar,,BJP,53.6,"7,88,569",Mahender Pratap Singh,,INC,"6,15,655",41.84,172914
Himachal Pradesh,1,Kangra,Rajeev Bhardwaj,,BJP,61.03,"6,32,793",Anand Sharma,,INC,"3,80,898",36.74,251895
,2,Mandi,Kangana Ranaut,,BJP,52.87,"5,37,022",Vikramaditya Singh,,INC,"4,62,267",45.51,74755
,3,Hamirpur,Anurag Thakur,,BJP,57.97,"6,07,068",Satpal Raizada,,INC,"4,24,711",40.55,182357
,4,Shimla,Suresh Kumar Kashyap,,BJP,53.58,"5,19,748",Vinod Sultanpuri,,INC,"4,28,297",44.16,91451
Jammu and Kashmir,1,Baramulla,Abdul Rashid Sheikh,,IND,45.7,"4,72,481",Omar Abdullah,,JKNC,"2,68,339",25.95,204142
,2,Srinagar,Aga Syed Ruhullah Mehdi,,JKNC,52.85,"3,56,866",Waheed Ur Rehman Para,,JKPDP,"1,68,450",24.95,188416
,3,Anantnag-Rajouri,Mian Altaf Ahmed Larvi,,JKNC,50.85,"5,21,836",Mehbooba Mufti,,JKPDP,"2,40,042",23.39,281794
,4,Udhampur,Dr. Jitendra Singh,,BJP,51.28,"5,71,076",Chaudhary Lal Singh,,INC,"4,46,703",40.11,124373
,5,Jammu,Jugal Kishore Sharma,,BJP,52.8,"6,87,588",Raman Bhalla,,INC,"5,52,090",42.4,135498
Jharkhand,1,Rajmahal,Vijay Kumar Hansdak,,JMM,50.35,"6,13,371",Tala Marandi,,BJP,"4,35,107",35.72,178264
,2,Dumka,Nalin Soren,,JMM,46.23,"5,47,370",Sita Murmu,,BJP,"5,24,843",44.32,22527
,3,Godda,Nishikant Dubey,,BJP,49.57,"6,93,140",Pradeep Yadav,,INC,"5,91,327",42.29,101813
,4,Chatra,Kali Charan Singh,,BJP,52.89,"5,74,556",Krishna Nand Tripathy,,INC,"3,53,597",32.55,220959
,5,Kodarma,Annpurna Devi,,BJP,57.79,"7,91,657",Vinod Kumar Singh,,CPI(ML)L,"4,14,643",30.27,377014
,6,Giridih,Chandra Prakash Choudhary,,AJSU,35.67,"4,51,139",Mathura Prasad Mahato,,JMM,"3,70,259",29.27,80880
,7,Dhanbad,Dulu Mahato,,BJP,55.26,"7,89,172",Anupama Singh,,INC,"4,57,589",32.04,331583
,8,Ranchi,Sanjay Seth,,BJP,45.91,"6,64,732",Yashaswini Sahay,,INC,"5,44,220",37.59,120512
,9,Jamshedpur,Bidyut Baran Mahato,,BJP,56.84,"7,26,174",Samir Kumar Mohanty,,JMM,"4,66,392",36.5,259782
,10,Singhbhum,Joba Majhi,,JMM,51.62,"5,20,164",Geeta Kora,,BJP,"3,51,762",34.91,168402
,11,Khunti,Kali Charan Munda,,INC,54.62,"5,11,647",Arjun Munda,,BJP,"3,61,972",38.64,149675
,12,Lohardaga,Sukhdeo Bhagat,,INC,49.95,"4,83,038",Samir Oraon,,BJP,"3,43,900",35.56,139138
,13,Palamau,Vishnu Dayal Ram,,BJP,55.39,"7,70,362",Mamata Bhuiyan,,RJD,"4,81,555",34.63,288807
,14,Hazaribagh,Manish Jaiswal,,BJP,51.76,"6,54,613",Jai Prakash Bhai Patel,,INC,"3,77,927",29.88,276686
Karnataka,1,Chikkodi,Priyanka Jarkiholi,,INC,51.21,"7,13,461",Annasaheb Shankar Jolle,,BJP,"6,22,627",44.69,90834
,2,Belgaum,Jagadish Shettar,,BJP,55.06,"7,62,029",Mrinal Hebbalkar,,INC,"5,83,592",42.17,178437
,3,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,,BJP,50.93,"6,71,039",Samyukta Shivanand Patil,,INC,"6,02,640",45.74,68399
,4,Bijapur,Ramesh Jigajinagi,,BJP,51.91,"6,72,781",Raju Alagur,,INC,"5,95,552",45.95,77229
