State,Parliamentary Constituency,,,Winner,,,Runner-up,,,Margin,Marginï¿
,No.,Name,Type,Candidate,,Votes (Vote%),Candidate,,Votes (Vote%),,
,16,Vaishali,GEN,Veena Devi,Lok Janshakti Party,"5,68,215",Raghuvansh Prasad Singh,Rashtriya Janata Dal,"3,33,631","2,34,584",
,17,Gopalganj,(SC),Alok Kumar Suman,Janata Dal (United),"5,68,150",Surendra Ram,Rashtriya Janata Dal,"2,81,716","2,86,434",
,18,Siwan,GEN,Kavita Singh,Janata Dal (United),"4,48,473",Hena Shahab,Rashtriya Janata Dal,"3,31,515","1,16,958",
,19,Maharajganj,GEN,Janardan Singh Sigriwal,Bharatiya Janata Party,"5,46,352",Randhir Kumar Singh,Rashtriya Janata Dal,"3,15,580","2,30,772",
,20,Saran,GEN,Rajiv Pratap Rudy,Bharatiya Janata Party,"4,99,342",Chandrika Roy,Rashtriya Janata Dal,"3,60,913","1,38,429",
,21,Hajipur,(SC),Pashupati Kumar Paras,Lok Janshakti Party,"5,41,310",Shiv Chandra Ram,Rashtriya Janata Dal,"3,35,861","2,05,449",
,22,Ujiarpur,GEN,Nityanand Rai,Bharatiya Janata Party,"5,43,906",Upendra Kushwaha,Rashtriya Lok Samta Party,"2,66,628","2,77,278",
,23,Samastipur,(SC),Ram Chandra Paswan,Lok Janshakti Party,"5,62,443",Ashok Kumar,INC,"3,10,800","2,51,643",
,24,Begusarai,GEN,Giriraj Singh,Bharatiya Janata Party,"6,92,193",Kanhaiya Kumar,Communist Party of India,"2,69,976","4,22,217",
,25,Khagaria,GEN,Mehboob Ali Kaiser,Lok Janshakti Party,"5,10,193",Mukesh Sahani,Vikassheel Insaan Party,"2,61,623","2,48,570",
,26,Bhagalpur,GEN,Ajay Kumar Mandal,Janata Dal (United),"6,18,254",Shailesh Kumar Mandal,Rashtriya Janata Dal,"3,40,624","2,77,630",
,27,Banka,GEN,Giridhari Yadav,Janata Dal (United),"4,77,788",Jay Prakash Narayan Yadav,Rashtriya Janata Dal,"2,77,256","2,00,532",
,28,Munger,GEN,Rajiv Ranjan Singh,Janata Dal (United),"5,28,762",Nilam Devi,INC,"3,60,825","1,67,937",
,29,Nalanda,GEN,Kaushalendra Kumar,Janata Dal (United),"5,40,888",Ashok Kumar Azad,Hindustani Awam Morcha,"2,84,751","2,56,137",
,30,Patna Sahib,GEN,Ravi Shankar Prasad,Bharatiya Janata Party,"6,07,506",Shatrughan Sinha,INC,"3,22,849","2,84,657",
,31,Pataliputra,GEN,Ram Kripal Yadav,Bharatiya Janata Party,"5,09,557",Misa Bharti,Rashtriya Janata Dal,"4,70,236",39321,
,32,Arrah,GEN,R. K. Singh,Bharatiya Janata Party,"5,66,480",Raju Yadav,Communist Party of India (Marxist-Leninist) (Liberation),"4,19,195","1,47,285",
,33,Buxar,GEN,Ashwini Kumar Choubey,Bharatiya Janata Party,"4,73,053",Jagadanand Singh,Rashtriya Janata Dal,"3,55,444","1,17,609",
,34,Sasaram,(SC),Chhedi Paswan,Bharatiya Janata Party,"4,94,800",Meira Kumar,INC,"3,29,055","1,65,745",
,35,Karakat,GEN,Mahabali Singh,Janata Dal (United),"3,98,408",Upendra Kushwaha,Rashtriya Lok Samta Party,"3,13,866",84542,
,36,Jahanabad,GEN,Chandeshwar Prasad,Janata Dal (United),"3,35,584",Surendra Prasad Yadav,Rashtriya Janata Dal,"3,33,833",1751,
,37,Aurangabad,GEN,Sushil Kumar Singh,Bharatiya Janata Party,"4,31,541",Upendra Prasad,Hindustani Awam Morcha,"3,58,934",72607,
,38,Gaya,(SC),Vijay Kumar Manjhi,Janata Dal (United),"4,67,007",Jitan Ram Manjhi,Hindustani Awam Morcha,"3,14,581","1,52,426",
,39,Nawada,GEN,Chandan Singh,Lok Janshakti Party,"4,95,684",Vibha Devi,Rashtriya Janata Dal,"3,47,612","1,48,072",
,40,Jamui,(SC),Chirag Paswan,Lok Janshakti Party,"5,29,134",Bhudeo Choudhary,Rashtriya Lok Samta Party,"2,88,085","2,41,049",
Chandigarh,1,Chandigarh,GEN,Kirron Kher,Bharatiya Janata Party,"2,31,188",Pawan Kumar Bansal,INC,"1,84,218",46970,
Chhattisgarh,1,Sarguja,(ST),Renuka Singh,Bharatiya Janata Party,"6,63,711",Khel Sai Singh,INC,"5,05,838","1,57,873",
,2,Raigarh,(ST),Gomati Sai,Bharatiya Janata Party,"6,58,335",Laljeet Singh Rathia,INC,"5,92,308",66027,
,3,Janjgir-Champa,(SC),Guharam Ajgalley,Bharatiya Janata Party,"5,72,790",Ravi Parasram Bhardwaj,INC,"4,89,535",83255,
,4,Korba,GEN,Jyotsna Mahant,INC,"5,23,410",Jyoti Nand Dubey,Bharatiya Janata Party,"4,97,061",26349,
,5,Bilaspur,GEN,Arun Sao,Bharatiya Janata Party,"6,34,559",Atal Srivastav,INC,"4,92,796","1,41,763",
,6,Rajnandgaon,GEN,Santosh Pandey,Bharatiya Janata Party,"6,62,387",Bhola Ram Sahu,INC,"5,50,421","1,11,966",
,7,Durg,GEN,Vijay Baghel,Bharatiya Janata Party,"8,49,374",Pratima Chandrakar,INC,"4,57,396","3,91,978",
,8,Raipur,GEN,Sunil Kumar Soni,Bharatiya Janata Party,"8,37,902",Pramod Dubey,INC,"4,89,664","3,48,238",
,9,Mahasamund,GEN,Chunni Lal Sahu,Bharatiya Janata Party,"6,16,580",Dhanendra Sahu,INC,"5,26,069",90511,
,10,Bastar,(ST),Deepak Baij,INC,"4,02,527",Baiduram Kashyap,Bharatiya Janata Party,"3,63,545",38982,
,11,Kanker,(ST),Mohan Mandavi,Bharatiya Janata Party,"5,46,233",Biresh Thakur,INC,"5,39,319",6914,
Dadra and Nagar Haveli,1,Dadra And Nagar Haveli,(ST),Mohanbhai Delkar,Independent,90421,Natubhai Patel,Bharatiya Janata Party,81420,9001,
Daman and Diu,1,Daman And Diu,GEN,Lalubhai Patel,Bharatiya Janata Party,37597,Dahyabhai Patel,INC,27655,9942,
NCT Of Delhi,1,Chandni Chowk,GEN,Harsh Vardhan,Bharatiya Janata Party,"5,19,055",Jai Parkash Aggarwal,INC,"2,90,910","2,28,145",
,2,North East Delhi,GEN,Manoj Tiwari,Bharatiya Janata Party,"7,87,799",Sheila Dikshit,INC,"4,21,697","3,66,102",
,3,East Delhi,GEN,Gautam Gambhir,Bharatiya Janata Party,"6,96,156",Arvinder Singh Lovely,INC,"3,04,934","3,91,222",
,4,New Delhi,GEN,Meenakshi Lekhi,Bharatiya Janata Party,"5,04,206",Ajay Maken,INC,"2,47,702","2,56,504",
,5,North West Delhi,(SC),Hans Raj Hans,Bharatiya Janata Party,"8,48,663",Gugan Singh Ranga,Aam Aadmi Party,"2,94,766","5,53,897",
,6,West Delhi,GEN,Parvesh Verma,Bharatiya Janata Party,"8,65,648",Mahabal Mishra,INC,"2,87,162","5,78,486",
,7,South Delhi,GEN,Ramesh Bidhuri,Bharatiya Janata Party,"6,87,014",Raghav Chadha,Aam Aadmi Party,"3,19,971","3,67,043",
Goa,1,North Goa,GEN,Shripad Yesso Naik,Bharatiya Janata Party,"2,44,844",Giri Raya Chodankar,INC,"1,64,597",80247,
,2,South Goa,GEN,Francisco Sardinha,INC,"2,01,561",Narendra Keshav Sawaikar,Bharatiya Janata Party,"1,91,806",9755,
Gujarat,1,Kachchh,(SC),Vinodbhai Chavda,Bharatiya Janata Party,"6,37,034",Naresh Maheshwari,INC,"3,31,521","3,05,513",
,2,Banaskantha,GEN,Parbatbhai Patel,Bharatiya Janata Party,"6,79,108",Parthibhai Bhatol,INC,"3,10,812","3,68,296",
,3,Patan,GEN,Bharatsinhji Dabhi Thakor,Bharatiya Janata Party,"6,33,368",Jagdish Thakor,INC,"4,39,489","1,93,879",
,4,Mahesana,GEN,Shardaben Patel,Bharatiya Janata Party,"6,59,525",A. J. Patel,INC,"3,78,006","2,81,519",
,5,Sabarkantha,GEN,Dipsinh Rathod,Bharatiya Janata Party,"7,01,984",Rajendra Thakor,INC,"4,32,997","2,68,987",
,6,Gandhinagar,GEN,Amit Shah,Bharatiya Janata Party,"8,94,624",C. J. Chavada,INC,"3,37,610","5,57,014",
,7,Ahmedabad East,GEN,Hasmukhbhai Patel,Bharatiya Janata Party,"7,49,834",Gitaben Patel,INC,"3,15,504","4,34,330",
,8,Ahmedabad West,(SC),Kirit Solanki,Bharatiya Janata Party,"6,41,622",Raju Parmar,INC,"3,20,076","3,21,546",
,9,Surendranagar,GEN,Mahendra Munjapara,Bharatiya Janata Party,"6,31,844",Somabhai Patel,INC,"3,54,407","2,77,437",
,10,Rajkot,GEN,Mohan Kundariya,Bharatiya Janata Party,"7,58,645",Lalit Kagathara,INC,"3,90,238","3,68,407",
,11,Porbandar,GEN,Rameshbhai Dhaduk,Bharatiya Janata Party,"5,63,881",Lalit Vasoya,INC,"3,34,058","2,29,823",
,12,Jamnagar,GEN,Poonamben Maadam,Bharatiya Janata Party,"5,91,588",Murubhai Kandoriya,INC,"3,54,784","2,36,804",
,13,Junagadh,GEN,Rajesh Chudasama,Bharatiya Janata Party,"5,47,952",Punjabhai Vansh,INC,"3,97,767","1,50,185",
,14,Amreli,GEN,Naranbhai Kachhadiya,Bharatiya Janata Party,"5,29,035",Paresh Dhanani,INC,"3,27,604","2,01,431",
,15,Bhavnagar,GEN,Bharti Shiyal,Bharatiya Janata Party,"6,61,273",Manhar Patel,INC,"3,31,754","3,29,519",
,16,Anand,GEN,Mitesh Patel,Bharatiya Janata Party,"6,33,097",Bharatbhai Solanki,INC,"4,35,379","1,97,718",
,17,Kheda,GEN,Devusinh Chauhan,Bharatiya Janata Party,"7,14,572",Bimal Shah,INC,"3,47,427","3,67,145",
,18,Panchmahal,GEN,Ratansinh Rathod,Bharatiya Janata Party,"7,32,136",V. K. Khant,INC,"3,03,595","4,28,541",
,19,Dahod,(ST),Jasvantsinh Bhabhor,Bharatiya Janata Party,"5,61,760",Babubhai Katara,INC,"4,34,164","1,27,596",
,20,Vadodara,GEN,Ranjanben Bhatt,Bharatiya Janata Party,"8,83,719",Prashant Patel,INC,"2,94,542","5,89,177",
,21,Chhota Udaipur,(ST),Gitaben Rathva,Bharatiya Janata Party,"7,64,445",Ranjit Mohansinh Rathwa,INC,"3,86,502","3,77,943",
,22,Bharuch,GEN,Mansukhbhai Vasava,Bharatiya Janata Party,"6,37,795",Sherkhan Abdulsakur Pathan,INC,"3,03,581","3,34,214",
,23,Bardoli,(ST),Parbhubhai Vasava,Bharatiya Janata Party,"7,42,273",Tusharbhai Chaudhari,INC,"5,26,826","2,15,447",
,24,Surat,GEN,Darshana Jardosh,Bharatiya Janata Party,"7,95,651",Ashok Adhevada,INC,"2,47,421","5,48,230",
,25,Navsari,GEN,C. R. Patil,Bharatiya Janata Party,"9,72,739",Dharmesh Bhimbhai Patel,INC,"2,83,071","6,89,668",
,26,Valsad,(ST),K C Patel,Bharatiya Janata Party,"7,71,980",Jitu Chaudhary,INC,"4,18,183","3,53,797",
Haryana,1,Ambala,(SC),Rattan Lal Kataria,Bharatiya Janata Party,"7,46,508",Selja Kumari,INC,"4,04,163","3,42,345",
,2,Kurukshetra,GEN,Nayab Singh,Bharatiya Janata Party,"6,88,629",Nirmal Singh,INC,"3,04,038","3,84,591",
,3,Sirsa,(SC),Sunita Duggal,Bharatiya Janata Party,"7,14,351",Ashok Tanwar,INC,"4,04,433","3,09,918",
,4,Hisar,GEN,Bijendra Singh,Bharatiya Janata Party,"6,03,289",Dushyant Chautala,Jannayak Janta Party,"2,89,221","3,14,068",
,5,Karnal,GEN,Sanjay Bhatia,Bharatiya Janata Party,"9,11,594",Kuldeep Sharma,INC,"2,55,452","6,56,142",
,6,Sonipat,GEN,Ramesh Chander Kaushik,Bharatiya Janata Party,"5,87,664",Bhupinder Singh Hooda,INC,"4,22,800","1,64,864",
,7,Rohtak,GEN,Arvind Kumar Sharma,Bharatiya Janata Party,"5,73,845",Deepender Singh Hooda,INC,"5,66,342",7503,
,8,Bhiwaniï¿½ï¿½ï¿½Mahe,GEN,Dharambir Singh,Bharatiya Janata Party,"7,36,699",Shruti Choudhry,INC,"2,92,236","4,44,463",
,9,Gurgaon,GEN,Inderjit Singh Rao,Bharatiya Janata Party,"8,81,546",Ajay Singh Yadav,INC,"4,95,290","3,86,256",
,10,Faridabad,GEN,Krishan Pal Gurjar,Bharatiya Janata Party,"9,13,222",Avtar Singh Bhadana,INC,"2,74,983","6,38,239",
Himachal Pradesh,1,Kangra,GEN,Kishan Kapoor,Bharatiya Janata Party,"7,25,218",Pawan Kajal,INC,"2,47,595","4,77,623",
,2,Mandi,GEN,Ram Swaroop Sharma,Bharatiya Janata Party,"6,47,189",Aashray Sharma,INC,"2,41,730","4,05,459",
,3,Hamirpur,GEN,Anurag Thakur,Bharatiya Janata Party,"6,82,692",Ram Lal Thakur,INC,"2,83,120","3,99,572",
,4,Shimla,(SC),Suresh Kumar Kashyap,Bharatiya Janata Party,"6,06,183",Dhani Ram Shandil,INC,"2,78,668","3,27,515",
Jammu and Kashmir,1,Baramulla,GEN,Mohammad Akbar Lone,Jammu & Kashmir National Conference,"1,33,376",Raja Aijaz Ali,Jammu and Kashmir People's Conference,"1,02,618",30758,
,2,Srinagar,GEN,Farooq Abdullah,Jammu & Kashmir National Conference,"1,06,750",Aga Syed Mohsin,Jammu and Kashmir Peoples Democratic Party,36700,70050,
,3,Anantnag,GEN,Hasnain Masoodi,Jammu & Kashmir National Conference,40180,Ghulam Ahmad Mir,INC,33504,6676,
,4,Ladakh,GEN,Jamyang Tsering Namgyal,Bharatiya Janata Party,42914,Sajjad Hussain,Independent,31984,10930,
,5,Udhampur,GEN,Jitendra Singh,Bharatiya Janata Party,"7,24,311",Vikramaditya Singh,INC,"3,67,059","3,57,252",
,6,Jammu,GEN,Jugal Kishore Sharma,Bharatiya Janata Party,"8,58,066",Raman Bhalla,INC,"5,55,191","3,02,875",
Jharkhand,1,Rajmahal,(ST),Vijay Hansdak,Jharkhand Mukti Morcha,"5,07,830",Hemlal Murmu,Bharatiya Janata Party,"4,08,635",99195,
,2,Dumka,(ST),Sunil Soren,Bharatiya Janata Party,"4,84,923",Shibu Soren,Jharkhand Mukti Morcha,"4,37,333",47590,
,3,Godda,GEN,Nishikant Dubey,Bharatiya Janata Party,"6,37,610",Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),"4,53,383","1,84,227",
,4,Chatra,GEN,Sunil Kumar Singh,Bharatiya Janata Party,"5,28,077",Manoj Kumar Yadav,INC,"1,50,206","3,77,871",
,5,Kodarma,GEN,Annapurna Devi Yadav,Bharatiya Janata Party,"7,53,016",Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),"2,97,416","4,55,600",
,6,Giridih,GEN,Chandra Prakash Chaudhary,All Jharkhand Students Union,"6,48,277",Jagarnath Mahto,Jharkhand Mukti Morcha,"3,99,930","2,48,347",
,7,Dhanbad,GEN,Pashupati Nath Singh,Bharatiya Janata Party,"8,27,234",Kirti Azad,INC,"3,41,040","4,86,194",
,8,Ranchi,GEN,Sanjay Seth,Bharatiya Janata Party,"7,06,828",Subodh Kant Sahay,INC,"4,23,802","2,83,026",
,9,Jamshedpur,GEN,Vidyut Mahato,Bharatiya Janata Party,"6,79,632",Champai Soren,Jharkhand Mukti Morcha,"3,77,542","3,02,090",
,10,Singhbhum,(SC),Geeta Koda,INC,"4,31,815",Laxman Giluwa,Bharatiya Janata Party,"3,59,660",72155,
,11,Khunti,(ST),Arjun Munda,Bharatiya Janata Party,"3,82,638",Kali Charan Munda,INC,"3,81,193",1445,
,12,Lohardaga,(ST),Sudarshan Bhagat,Bharatiya Janata Party,"3,71,595",Sukhdeo Bhagat,INC,"3,61,232",10363,
,13,Palamau,(SC),Vishnu Dayal Ram,Bharatiya Janata Party,"7,55,659",Ghuran Ram,Rashtriya Janata Dal,"2,78,053","4,77,606",
,14,Hazaribagh,GEN,Jayant Sinha,Bharatiya Janata Party,"7,28,798",Gopal Sahu,INC,"2,49,250","4,79,548",
Karnataka,1,Chikkodi,GEN,Annasaheb Jolle,Bharatiya Janata Party,"6,45,017",Prakash Hukkeri,INC,"5,26,140","1,18,877",
,2,Belgaum,GEN,Suresh Angadi,Bharatiya Janata Party,"7,61,991",Sadhunavar,INC,"3,70,687","3,91,304",
,3,Bagalkot,GEN,P. C. Gaddigoudar,Bharatiya Janata Party,"6,64,638",Veena Kashappanavar,INC,"4,96,451","1,68,187",
,4,Bijapur,(SC),Ramesh Jigajinagi,Bharatiya Janata Party,"6,35,867",Sunita Devanand Chavan,Janata Dal (Secular),"3,77,829","2,58,038",
,5,Gulbarga,(SC),Umesh. G. Jadhav,Bharatiya Janata Party,"6,20,192",Mallikarjun Kharge,INC,"5,24,740",95452,
,6,Raichur,(ST),Raja Amareswara Naik,Bharatiya Janata Party,"5,98,337",B. V. Nayak,INC,"4,80,621","1,17,716",
,7,Bidar,GEN,Bhagwanth Khuba,Bharatiya Janata Party,"5,85,471",Eshwara Khandre,INC,"4,68,637","1,16,834",
,8,Koppal,GEN,Karadi Sanganna,Bharatiya Janata Party,"5,86,783",Rajashekar Hitnal,INC,"5,48,386",38397,
,9,Bellary,(ST),Y. Devendrappa,Bharatiya Janata Party,"6,16,388",V. S. Ugrappa,INC,"5,60,681",55707,
,10,Haveri,GEN,Shivkumar Udasi,Bharatiya Janata Party,"6,83,660",D. R. Patil,INC,"5,42,778","1,40,882",
,11,Dharwad,GEN,Pralhad Joshi,Bharatiya Janata Party,"6,84,837",Vinay Kulkarni,INC,"4,79,765","2,05,072",
,12,Uttara Kannada,GEN,Anantkumar Hegde,Bharatiya Janata Party,"7,86,042",Anand Asnotikar,Janata Dal (Secular),"3,06,393","4,79,649",
,13,Davanagere,GEN,G. M. Siddeshwara,Bharatiya Janata Party,"6,52,996",H. B. Manjappa,INC,"4,83,294","1,69,702",
