Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes,Status,Margin_Percentage,Victory_Category,Coalition_Block,Runner_Up_Ratio,Prev_Winner_Party,Seat_Flip_Status,Incumbent_Hold_Count
2004,Chhattisgarh,3,Janjgir,GEN,Karuna Shukla,BJP,303655.0,50.95,Charan Das Mahant,INC,292326.0,49.05,11329.0,Result Declared,1.9,Tight / Close Contest,NDA,0.9627,,,0
2004,Chhattisgarh,4,Bilaspur,SC,Punnulal Mohle,BJP,324729.0,57.18,Basant Pahre,INC,243176.0,42.82,81553.0,Result Declared,14.36,Comfortable,NDA,0.7489,,,0
2004,Chhattisgarh,5,Sarangarh,SC,Guharam Ajgalle,BJP,242575.0,56.94,Parasram Bhardwaj,INC,183457.0,43.06,59118.0,Result Declared,13.88,Comfortable,NDA,0.7563,,,0
2004,Chhattisgarh,6,Raipur,GEN,Ramesh Bais,BJP,376029.0,60.4,Shyama Charan Shukla,INC,246510.0,39.6,129519.0,Result Declared,20.8,Landslide,NDA,0.6556,,,0
2004,Chhattisgarh,7,Mahasamund,GEN,Ajit Jogi,INC,414647.0,58.34,Vidya Charan Shukla,BJP,296142.0,41.66,118505.0,Result Declared,16.67,Landslide,UPA / I.N.D.I.A.,0.7142,,,0
2004,Chhattisgarh,8,Kanker,ST,Sohan Potai,BJP,274294.0,57.75,Ganga Potai Thakur,INC,200668.0,42.25,73626.0,Result Declared,15.5,Landslide,NDA,0.7316,,,0
2004,Chhattisgarh,9,Bastar,ST,Baliram Kashyap,BJP,212893.0,57.32,Mahendra Karma,INC,158520.0,42.68,54373.0,Result Declared,14.64,Comfortable,NDA,0.7446,,,0
2004,Chhattisgarh,10,Durg,GEN,Tarachand Sahu,BJP,382757.0,54.37,Bhupesh Baghel,INC,321289.0,45.63,61468.0,Result Declared,8.73,Comfortable,NDA,0.8394,,,0
2004,Chhattisgarh,11,Rajnandgaon,GEN,Pradeep Gandhi,BJP,314520.0,51.17,Devwrat Singh,INC,300197.0,48.83,14323.0,Result Declared,2.33,Tight / Close Contest,NDA,0.9545,,,0
2004,Dadra and Nagar Haveli,1,Dadra And Nagar Haveli,ST,Mohanbhai Sanjibhai Delkar,Bharatiya Navshakti Party,34665.0,61.42,Sitaram Gavli,INC,21772.0,38.58,12893.0,Result Declared,22.84,Landslide,Others / Regional,0.6281,,,0
2004,Daman and Diu,1,Daman And Diu,GEN,Patel Dahyabhai Vallabhbhai,INC,27523.0,50.56,Gopalbhai Tandel,BJP,26916.0,49.44,607.0,Result Declared,1.12,Tight / Close Contest,UPA / I.N.D.I.A.,0.9779,,,0
2004,Delhi,1,New Delhi,GEN,Ajay Maken,INC,105415.0,53.23,Jagmohan,BJP,92631.0,46.77,12784.0,Result Declared,6.46,Comfortable,UPA / I.N.D.I.A.,0.8787,,,0
2004,Delhi,2,South Delhi,GEN,Vijay Kumar Malhotra,BJP,240654.0,51.72,R. K. Anand,INC,224649.0,48.28,16005.0,Result Declared,3.44,Tight / Close Contest,NDA,0.9335,,,0
2004,Delhi,3,Outer Delhi,GEN,Sajjan Kumar,INC,855543.0,57.52,Sahib Singh Verma,BJP,631753.0,42.48,223790.0,Result Declared,15.05,Landslide,UPA / I.N.D.I.A.,0.7384,,,0
