Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes
2004,Karnataka,1,Bidar,SC,Ramchandra Veerappa,BJP,312838,,Narsingrao Suryawanshi,INC,289217,,23621
2004,Karnataka,2,Gulbarga,GEN,Iqbal Ahmed Saradgi,INC,312601,,Basavaraj Patil Sedam,BJP,255130,,57471
2004,Karnataka,3,Raichur,GEN,A. Venkatesh Naik,INC,289424,,Raja Madangopal Nayak,JD(S),288916,,508
2004,Karnataka,4,Koppal,GEN,K. Virupaxappa,INC,356158,,Nagappa Saloni,BJP,312535,,43623
2004,Karnataka,5,Bellary,GEN,G. Karunakara Reddy,BJP,318978,,K. C. Kondaiah,INC,287299,,31679
2004,Karnataka,6,Davanagere,GEN,G. M. Siddeshwara,BJP,370499,,S. S. Mallikarjun,INC,337823,,32676
2004,Karnataka,7,Chitradurga,GEN,N. Y. Hanumanthappa,INC,322609,,P Kodandaramaiah,JD(S),285149,,37460
2004,Karnataka,8,Tumkur,GEN,S. Mallikarjunaiah,BJP,303016,,Jagadeesh D L,JD(S),300665,,2351
2004,Karnataka,9,Chikballapur,GEN,R. L. Jalappa,INC,376204,,Shashi Kumar,JD(S),316182,,60022
2004,Karnataka,10,Kolar,SC,K. H. Muniyappa,INC,385582,,D S Veeraiah,BJP,373947,,11635
2004,Karnataka,11,Kanakapura,GEN,Tejashwini See Ramesh,INC,584238,,Ramachandra Gowda,BJP,467575,,116663
2004,Karnataka,12,Bangalore North,GEN,H. T. Sangliana,BJP,473502,,C. K. Jaffer Sharief,INC,443144,,30358
2004,Karnataka,13,Bangalore South,GEN,Ananth Kumar,BJP,386682,,M. Krishnappa,INC,324411,,62271
2004,Karnataka,14,Mandya,GEN,Ambareesh,INC,411116,,S Ramegowda,JD(S),286678,,124438
2004,Karnataka,15,Chamarajanagar,SC,Kagalvadi M. Shivanna,JD(S),316661,,A Siddaraju,INC,272672,,43989
2004,Karnataka,16,Mysore,GEN,C. H. Vijayashankar,BJP,316442,,A S Guruswamy,JD(S),306292,,10150
2004,Karnataka,17,Mangalore,GEN,D. V. Sadananda Gowda,BJP,384760,,Veerappa Moily,INC,351345,,33415
2004,Karnataka,18,Udupi,GEN,Manorama Madhwaraj,BJP,369627,,Vinay Kumar Sorake,INC,340624,,29003
2004,Karnataka,19,Hassan,GEN,H. D. Deve Gowda,JD(S),462625,,H. C. Srikantaiah,INC,272320,,190305
2004,Karnataka,20,Chikmagalur,GEN,D. C. Srikantappa,BJP,341391,,B L Shankar,INC,267719,,73672
2004,Karnataka,21,Shimoga,GEN,Sarekoppa Bangarappa,BJP,450097,,Ayanur Manjunath,INC,373952,,76145
2004,Karnataka,22,Kanara,GEN,Anant Kumar Hegde,BJP,433174,,Margaret Alva,INC,260948,,172226
2004,Karnataka,23,Dharwad South,GEN,Manjunath Kunnur,BJP,442759,,I G Sanadi,INC,297647,,145112
2004,Karnataka,24,Dharwad North,GEN,Pralhad Joshi,BJP,385084,,B S Patil,INC,302006,,83078
2004,Karnataka,25,Belgaum,GEN,Suresh Angadi,BJP,410843,,Amarsinh Vasantrao Patil,INC,326090,,84753
2004,Karnataka,26,Chikkodi,SC,Ramesh Jigajinagi,BJP,379580,,SB Ghatage,INC,336088,,43492
2004,Karnataka,27,Bagalkot,GEN,P. C. Gaddigoudar,BJP,459451,,RS Patil,INC,292068,,167383
2004,Karnataka,28,Bijapur,GEN,Basangouda Patil Yatnal,BJP,344905,,Somanagouda Patil,INC,307372,,37533
2004,Kerala,1,Kasaragod,GEN,P. Karunakaran,CPI(M),437284,,N A Mohammed,INC,329028,,108256
