Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2019,Nagaland,INC,,48.11,0
2019,Odisha,BJD,,42.76,12
2019,Odisha,BJP,,38.37,8
2019,Odisha,INC,,13.81,1
2019,Punjab,INC,,40.12,8
2019,Punjab,SAD,,27.450000000000003,2
2019,Punjab,BJP,,9.629999999999999,2
2019,Punjab,AAP,,7.380000000000001,1
2019,Rajasthan,BJP,,58.47,24
2019,Rajasthan,Rashtriya Loktantrik Party,,2.03,1
2019,Rajasthan,INC,,34.239999999999995,0
2019,Sikkim,SKM,,47.46,1
2019,Sikkim,SDF,,43.919999999999995,0
2019,Tamil Nadu,DMK,,32.76,24
2019,Tamil Nadu,INC,,12.76,8
2019,Tamil Nadu,CPI,,2.4299999999999997,2
2019,Tamil Nadu,CPI(M),,2.4,2
2019,Tamil Nadu,AIADMK,,18.48,1
2019,Tamil Nadu,Indian Union Muslim League,,1.11,1
2019,Tamil Nadu,VCK,,,1
2019,Tamil Nadu,BJP,,3.66,0
2019,Tamil Nadu,Pattali Makkal Katchi,,5.42,0
2019,Telangana,BRS,7696848,41.71,9
2019,Telangana,INC,5496686,29.79,3
2019,Telangana,BJP,3626173,19.65,4
2019,Telangana,AIMIM,517471,2.8,1
2019,Tripura,BJP,,49.03,2
2019,Tripura,INC,,25.34,0
2019,Tripura,CPI(M),,17.31,0
2019,Uttar Pradesh,NDA,42858171,49.980000000000004,62
2019,Uttar Pradesh,Apna Dal (Sonelal),1039478,1.21,2
2019,Uttar Pradesh,Mahagathbandhan,16659754,19.43,10
2019,Uttar Pradesh,SP,15533620,18.11,5
2019,Uttar Pradesh,RLD,1447363,1.69,0
2019,Uttar Pradesh,UPA,5457352,6.36,1
2019,Uttarakhand,BJP,,61.01,5
2019,Uttarakhand,INC,,31.4,0
2019,West Bengal,AITC,24756985,43.7,22
2019,West Bengal,BJP,23028343,40.6,18
2019,West Bengal,LF,,,
2019,West Bengal,CPI(M),3594283,6.3,0
2019,West Bengal,AIFB,239218,0.4,0
2019,West Bengal,RSP,208275,0.4,0
2019,West Bengal,CPI,227695,0.4,0
2019,West Bengal,INC,3210485,5.7,2
2024,Andaman and Nicobar Islands,BJP,,50.59,1
2024,Andaman and Nicobar Islands,INC,,38.53,0
2024,Andhra Pradesh,TDP,,37.79,16
2024,Andhra Pradesh,YSRCP,,39.61,4
2024,Andhra Pradesh,BJP,,11.28,3
2024,Andhra Pradesh,Jana Sena Party,,4.3,2
2024,Andhra Pradesh,INC,,2.66,0
2024,Arunachal Pradesh,BJP,,48.87,2
2024,Arunachal Pradesh,INC,,30.37,0
2024,Assam,BJP,,37.43,9
2024,Assam,INC,,37.48,3
2024,Assam,AGP,,6.46,1
2024,Assam,United People'S Party Liberal,,2.43,1
2024,Assam,AIUDF,,3.13,0
2024,Bihar,BJP,,20.52,12
2024,Bihar,JD(U),,18.52,12
2024,Bihar,LJP,,6.47,5
2024,Bihar,RJD,,22.14,4
2024,Bihar,INC,,9.2,3
2024,Bihar,CPI(ML)L,,2.99,2
2024,Bihar,Hindustani Awam Morcha,,,1
2024,Bihar,IND,,,1
2024,Chandigarh,INC,,48.23,1
2024,Chandigarh,BJP,,47.66,0
2024,Chhattisgarh,BJP,,52.65,10
2024,Chhattisgarh,INC,,41.06,1
2024,Chhattisgarh,Dadra & Nagar Haveli And Daman And Diu(2),,,
2024,Chhattisgarh,IND,,,1
2024,Delhi,BJP,,54.35,7
2024,Delhi,AAP,,24.17,0
2024,Delhi,INC,,18.91,0
2024,Goa,BJP,,50.79,1
2024,Goa,INC,,39.71,1
2024,Gujarat,BJP,,61.86,25
2024,Gujarat,INC,,31.24,1
2024,Gujarat,AAP,,2.69,0
2024,Haryana,BJP,,46.11,5
2024,Haryana,INC,,47.61,5
2024,Haryana,AAP,,3.94,0
2024,Himachal Pradesh,BJP,,56.44,4
2024,Himachal Pradesh,INC,,41.67,0
2024,Jammu and Kashmir,BJP,,24.36,2
2024,Jammu and Kashmir,JKNC,,22.3,2
2024,Jammu and Kashmir,IND,,,1
2024,Jammu and Kashmir,INC,,19.38,0
2024,Jammu and Kashmir,Jammu & Kashmir People'S Democratic Party,,8.48,0
2024,Jharkhand,BJP,,44.6,8
2024,Jharkhand,JMM,,14.6,3
2024,Jharkhand,INC,,19.19,2
2024,Jharkhand,All Jharkhand Students Union,,2.62,1
2024,Karnataka,BJP,,46.06,17
2024,Karnataka,INC,,45.43,9
2024,Karnataka,Janata Dal,,5.6,2
2024,Kerala,INC,,35.06,14
2024,Kerala,Indian Union Muslim League,,6.07,2
2024,Kerala,CPI(M),,25.82,1
2024,Kerala,BJP,,16.68,1
2024,Kerala,Kerala Congress,,1.84,1
2024,Kerala,RSP,,2.24,1
2024,Kerala,CPI,,6.14,0
2024,Kerala,Kerala Congress (M),,1.38,0
2024,Kerala,Bharath Dharma Jana Sena,,2.56,0
2024,Ladakh,IND,,48.15,1
2024,Ladakh,INC,,27.59,0
2024,Ladakh,BJP,,23.58,0
2024,Lakshadweep,INC,,52.24,1
2024,Lakshadweep,Nationalist Congress Party (Sharadchandra Pawar),,46.96,0
