Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2004,Andhra Pradesh,Rajahmundry,Vundavalli Aruna Kumar,INC,,,
2009,Andhra Pradesh,Rajahmundry,Vundavalli Aruna Kumar,INC,Vundavalli Aruna Kumar,INC,TRUE
2014,Andhra Pradesh,Rajahmundry,Maganti Murali Mohan,TDP,Vundavalli Aruna Kumar,INC,FALSE
2019,Andhra Pradesh,Rajahmundry,Margani Bharat,YSRCP,Maganti Murali Mohan,TDP,FALSE
2024,Andhra Pradesh,Rajahmundry,Daggubati Purandeswari,BJP,Margani Bharat,YSRCP,FALSE
2004,Andhra Pradesh,Rajampet,Sai Prathap Annayyagari,INC,,,
2009,Andhra Pradesh,Rajampet,Annayyagari Sai Prathap,INC,Sai Prathap Annayyagari,INC,FALSE
2014,Andhra Pradesh,Rajampet,P. V. Midhun Reddy,YSRCP,Annayyagari Sai Prathap,INC,FALSE
2019,Andhra Pradesh,Rajampet,P. V. Midhun Reddy,YSRCP,P. V. Midhun Reddy,YSRCP,TRUE
2024,Andhra Pradesh,Rajampet,P. V. Midhun Reddy,YSRCP,P. V. Midhun Reddy,YSRCP,TRUE
2004,Andhra Pradesh,Secunderabad,Anjan Kumar Yadav,INC,,,
2009,Andhra Pradesh,Secunderabad,Anjan Kumar Yadav,INC,Anjan Kumar Yadav,INC,TRUE
2014,Andhra Pradesh,Secunderabad,Bandaru Dattatreya,BJP,Anjan Kumar Yadav,INC,FALSE
2004,Andhra Pradesh,Siddipet,Sarvey Satyanarayana,INC,,,
2004,Andhra Pradesh,Srikakulam,Kinjarapu Yerran Naidu,TDP,,,
2009,Andhra Pradesh,Srikakulam,Killi Krupa Rani,INC,Kinjarapu Yerran Naidu,TDP,FALSE
2014,Andhra Pradesh,Srikakulam,Ram Mohan Naidu Kinjarapu,TDP,Killi Krupa Rani,INC,FALSE
2019,Andhra Pradesh,Srikakulam,Ram Mohan Naidu Kinjarapu,TDP,Ram Mohan Naidu Kinjarapu,TDP,TRUE
2024,Andhra Pradesh,Srikakulam,Kinjarapu Ram Mohan Naidu,TDP,Ram Mohan Naidu Kinjarapu,TDP,FALSE
2004,Andhra Pradesh,Tenali,Vallabhaneni Balasouri,INC,,,
2004,Andhra Pradesh,Tirupathi,Chinta Mohan,INC,,,
2009,Andhra Pradesh,Tirupati,Chinta Mohan,INC,,,
2014,Andhra Pradesh,Tirupati,Varaprasad Rao Velagapalli,YSRCP,Chinta Mohan,INC,FALSE
2019,Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,YSRCP,Varaprasad Rao Velagapalli,YSRCP,FALSE
2024,Andhra Pradesh,Tirupati,Maddila Gurumoorthy,YSRCP,Balli Durga Prasad Rao,YSRCP,FALSE
2004,Andhra Pradesh,Vijayawada,Lagadapati Rajagopal,INC,,,
2009,Andhra Pradesh,Vijayawada,Lagadapati Rajagopal,INC,Lagadapati Rajagopal,INC,TRUE
2014,Andhra Pradesh,Vijayawada,Kesineni Srinivas,TDP,Lagadapati Rajagopal,INC,FALSE
2019,Andhra Pradesh,Vijayawada,Kesineni Srinivas,TDP,Kesineni Srinivas,TDP,TRUE
2024,Andhra Pradesh,Vijayawada,Kesineni Sivanath,TDP,Kesineni Srinivas,TDP,FALSE
2004,Andhra Pradesh,Visakhapatnam,Nedurumalli Janardhana Reddy,INC,,,
2009,Andhra Pradesh,Visakhapatnam,Daggubati Purandeswari,INC,Nedurumalli Janardhana Reddy,INC,FALSE
2014,Andhra Pradesh,Visakhapatnam,Kambhampati Hari Babu,BJP,Daggubati Purandeswari,INC,FALSE
2019,Andhra Pradesh,Visakhapatnam,M. V. V. Satyanarayana,YSRCP,Kambhampati Hari Babu,BJP,FALSE
2024,Andhra Pradesh,Visakhapatnam,Mathukumilli Bharat,TDP,M. V. V. Satyanarayana,YSRCP,FALSE
2009,Andhra Pradesh,Vizianagaram,Jhansi Laxmi Botcha,INC,,,
2014,Andhra Pradesh,Vizianagaram,Pusapati Ashok Gajapathi Raju,TDP,Jhansi Laxmi Botcha,INC,FALSE
2019,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,YSRCP,Pusapati Ashok Gajapathi Raju,TDP,FALSE
2024,Andhra Pradesh,Vizianagaram,Appalanaidu Kalisetti,TDP,Bellana Chandra Sekhar,YSRCP,FALSE
2004,Andhra Pradesh,Warangal,Dharavath Ravinder Naik,TRS,,,
2009,Andhra Pradesh,Warangal,Siricilla Rajaiah,INC,Dharavath Ravinder Naik,TRS,FALSE
2014,Andhra Pradesh,Warangal,Kadiyam Srihari,TRS,Siricilla Rajaiah,INC,FALSE
2009,Andhra Pradesh,Zahirabad,Suresh Shetkar,INC,,,
2014,Andhra Pradesh,Zahirabad,B.B. Patil,TRS,Suresh Shetkar,INC,FALSE
2004,Arunachal Pradesh,Arunachal East,Tapir Gao,BJP,,,
2009,Arunachal Pradesh,Arunachal East,Ninong Ering,INC,Tapir Gao,BJP,FALSE
2014,Arunachal Pradesh,Arunachal East,Ninong Ering,INC,Ninong Ering,INC,TRUE
2019,Arunachal Pradesh,Arunachal East,Tapir Gao,BJP,Ninong Ering,INC,FALSE
2024,Arunachal Pradesh,Arunachal East,Tapir Gao,BJP,Tapir Gao,BJP,TRUE
2004,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,,,
2009,Arunachal Pradesh,Arunachal West,Takam Sanjoy,INC,Kiren Rijiju,BJP,FALSE
2014,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,Takam Sanjoy,INC,FALSE
2019,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,Kiren Rijiju,BJP,TRUE
2024,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,Kiren Rijiju,BJP,TRUE
2004,Assam,Autonomous District,Biren Sing Engti,INC,,,
2009,Assam,Autonomous District,Biren Sing Engti,INC,Biren Sing Engti,INC,TRUE
2014,Assam,Autonomous District,Biren Singh Engti,INC,Biren Sing Engti,INC,FALSE
2019,Assam,Autonomous District,Horen Sing Bey,BJP,Biren Singh Engti,INC,FALSE
2004,Assam,Barpeta,A. F. Golam Osmani,INC,,,
2009,Assam,Barpeta,Ismail Hussain,INC,A. F. Golam Osmani,INC,FALSE
2014,Assam,Barpeta,Sirajuddin Ajmal,AIUDF,Ismail Hussain,INC,FALSE
2019,Assam,Barpeta,Abdul Khaleque,INC,Sirajuddin Ajmal,AIUDF,FALSE
2024,Assam,Barpeta,Phani Bhusan Choudhury,AGP,Abdul Khaleque,INC,FALSE
2024,Assam,Darrang-Udalguri,Dilip Saikia,BJP,,,
2004,Assam,Dhubri,Anwar Hussain,INC,,,
2009,Assam,Dhubri,Badruddin Ajmal,AIUDF,Anwar Hussain,INC,FALSE
2014,Assam,Dhubri,Badruddin Ajmal,AIUDF,Badruddin Ajmal,AIUDF,TRUE
2019,Assam,Dhubri,Badruddin Ajmal,AIUDF,Badruddin Ajmal,AIUDF,TRUE
2024,Assam,Dhubri,Rakibul Hussain,INC,Badruddin Ajmal,AIUDF,FALSE
2004,Assam,Dibrugarh,Sarbananda Sonowal,AGP,,,
2009,Assam,Dibrugarh,Paban Singh Ghatowar,INC,Sarbananda Sonowal,AGP,FALSE
2014,Assam,Dibrugarh,Rameswar Teli,BJP,Paban Singh Ghatowar,INC,FALSE
