Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2014,Tripura,Tripura West,Sankar Prasad Datta,CPI(M),Khagen Das,CPI(M),FALSE
2019,Tripura,Tripura West,Pratima Bhowmik,BJP,Sankar Prasad Datta,CPI(M),FALSE
2024,Tripura,Tripura West,Biplab Kumar Deb,BJP,Pratima Bhowmik,BJP,FALSE
2004,Uttar Pradesh,Agra,Raj Babbar,SP,,,
2009,Uttar Pradesh,Agra,Ram Shankar Katheria,BJP,Raj Babbar,SP,FALSE
2014,Uttar Pradesh,Agra,Dr. Ram Shankar Katheria,BJP,Ram Shankar Katheria,BJP,FALSE
2019,Uttar Pradesh,Agra,Satya Pal Singh Baghel,BJP,Dr. Ram Shankar Katheria,BJP,FALSE
2024,Uttar Pradesh,Agra,S. P. Singh Baghel,BJP,Satya Pal Singh Baghel,BJP,FALSE
2004,Uttar Pradesh,Akbarpur,Mayawati,BSP,,,
2009,Uttar Pradesh,Akbarpur,Raja Ram Pal,INC,Mayawati,BSP,FALSE
2014,Uttar Pradesh,Akbarpur,Devendra Singh,BJP,Raja Ram Pal,INC,FALSE
2019,Uttar Pradesh,Akbarpur,Devendra Singh Bhole,BJP,Devendra Singh,BJP,FALSE
2024,Uttar Pradesh,Akbarpur,Devendra Singh,BJP,Devendra Singh Bhole,BJP,FALSE
2004,Uttar Pradesh,Aligarh,Bijendra Singh,INC,,,
2009,Uttar Pradesh,Aligarh,Raj Kumari Chauhan,BSP,Bijendra Singh,INC,FALSE
2014,Uttar Pradesh,Aligarh,Satish Kumar,BJP,Raj Kumari Chauhan,BSP,FALSE
2019,Uttar Pradesh,Aligarh,Satish Kumar Gautam,BJP,Satish Kumar,BJP,FALSE
2024,Uttar Pradesh,Aligarh,Satish Kumar Gautam,BJP,Satish Kumar Gautam,BJP,TRUE
2004,Uttar Pradesh,Allahabad,Rewati Raman Singh,SP,,,
2009,Uttar Pradesh,Allahabad,Rewati Raman Singh,SP,Rewati Raman Singh,SP,TRUE
2014,Uttar Pradesh,Allahabad,Shyama Charan Gupta,BJP,Rewati Raman Singh,SP,FALSE
2019,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,BJP,Shyama Charan Gupta,BJP,FALSE
2024,Uttar Pradesh,Allahabad,Ujjwal Raman Singh,INC,Rita Bahuguna Joshi,BJP,FALSE
2009,Uttar Pradesh,Ambedkar Nagar,Rakesh Pandey,BSP,,,
2014,Uttar Pradesh,Ambedkar Nagar,Hari Om Pandey,BJP,Rakesh Pandey,BSP,FALSE
2019,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,BSP,Hari Om Pandey,BJP,FALSE
2024,Uttar Pradesh,Ambedkar Nagar,Lalji Verma,SP,Ritesh Pandey,BSP,FALSE
2004,Uttar Pradesh,Amethi,Rahul Gandhi,INC,,,
2009,Uttar Pradesh,Amethi,Rahul Gandhi,INC,Rahul Gandhi,INC,TRUE
2014,Uttar Pradesh,Amethi,Rahul Gandhi,INC,Rahul Gandhi,INC,TRUE
2019,Uttar Pradesh,Amethi,Smriti Irani,BJP,Rahul Gandhi,INC,FALSE
2024,Uttar Pradesh,Amethi,Kishori Lal Sharma,INC,Smriti Irani,BJP,FALSE
2004,Uttar Pradesh,Amroha,Harish Nagpal,IND,,,
2009,Uttar Pradesh,Amroha,Devendra Nagpal,RLD,Harish Nagpal,IND,FALSE
2014,Uttar Pradesh,Amroha,Kanwar Singh Tanwar,BJP,Devendra Nagpal,RLD,FALSE
2019,Uttar Pradesh,Amroha,Kunwar Danish Ali,BSP,Kanwar Singh Tanwar,BJP,FALSE
2024,Uttar Pradesh,Amroha,Kanwar Singh Tanwar,BJP,Kunwar Danish Ali,BSP,FALSE
2004,Uttar Pradesh,Aonla,Kunwar Sarvraj Singh,JD(U),,,
2009,Uttar Pradesh,Aonla,Maneka Gandhi,BJP,Kunwar Sarvraj Singh,JD(U),FALSE
2014,Uttar Pradesh,Aonla,Dharmendra Kumar,BJP,Maneka Gandhi,BJP,FALSE
2019,Uttar Pradesh,Aonla,Dharmendra Kashyap,BJP,Dharmendra Kumar,BJP,FALSE
2024,Uttar Pradesh,Aonla,Neeraj Maurya,SP,Dharmendra Kashyap,BJP,FALSE
2004,Uttar Pradesh,Azamgarh,Ramakant Yadav,BSP,,,
2009,Uttar Pradesh,Azamgarh,Ramakant Yadav,BJP,Ramakant Yadav,BSP,TRUE
2014,Uttar Pradesh,Azamgarh,Mulayam Singh Yadav,SP,Ramakant Yadav,BJP,FALSE
2019,Uttar Pradesh,Azamgarh,Akhilesh Yadav,SP,Mulayam Singh Yadav,SP,FALSE
2024,Uttar Pradesh,Azamgarh,Dharmendra Yadav,SP,Akhilesh Yadav,SP,FALSE
2009,Uttar Pradesh,Badaun,Dharmendra Yadav,SP,,,
2014,Uttar Pradesh,Badaun,Dharmendra Yadav,SP,Dharmendra Yadav,SP,TRUE
2019,Uttar Pradesh,Badaun,Sanghmitra Maurya,BJP,Dharmendra Yadav,SP,FALSE
2024,Uttar Pradesh,Badaun,Aditya Yadav,SP,Sanghmitra Maurya,BJP,FALSE
2004,Uttar Pradesh,Baghpat,Ajit Singh,RLD,,,
2009,Uttar Pradesh,Baghpat,Ajit Singh,RLD,Ajit Singh,RLD,TRUE
2014,Uttar Pradesh,Baghpat,Dr. Satya Pal Singh,BJP,Ajit Singh,RLD,FALSE
2019,Uttar Pradesh,Baghpat,Satya Pal Singh,BJP,Dr. Satya Pal Singh,BJP,FALSE
2024,Uttar Pradesh,Baghpat,Rajkumar Sangwan,RLD,Satya Pal Singh,BJP,FALSE
2004,Uttar Pradesh,Bahraich,Rubab Sayda,SP,,,
2009,Uttar Pradesh,Bahraich,Kamal Kishor,INC,Rubab Sayda,SP,FALSE
2014,Uttar Pradesh,Bahraich,Sadhvi Savitri Bai Foole,BJP,Kamal Kishor,INC,FALSE
2019,Uttar Pradesh,Bahraich,Akshaybara Lal Gaud,BJP,Sadhvi Savitri Bai Foole,BJP,FALSE
2024,Uttar Pradesh,Bahraich,Anand Kumar Gond,BJP,Akshaybara Lal Gaud,BJP,FALSE
2004,Uttar Pradesh,Ballia,Chandra Shekhar,Samajwadi Janata Party (Rashtriya),,,
2009,Uttar Pradesh,Ballia,Neeraj Shekhar,SP,Chandra Shekhar,Samajwadi Janata Party (Rashtriya),FALSE
2014,Uttar Pradesh,Ballia,Bharat Singh,BJP,Neeraj Shekhar,SP,FALSE
2019,Uttar Pradesh,Ballia,Virendra Singh Mast,BJP,Bharat Singh,BJP,FALSE
2024,Uttar Pradesh,Ballia,Sanatan Pandey,SP,Virendra Singh Mast,BJP,FALSE
2004,Uttar Pradesh,Balrampur,Brij Bhushan Sharan Singh,BJP,,,
2004,Uttar Pradesh,Banda,Shyama Charan Gupta,SP,,,
2009,Uttar Pradesh,Banda,R. K. Singh Patel,SP,Shyama Charan Gupta,SP,FALSE
2014,Uttar Pradesh,Banda,Bhairon Prasad Mishra,BJP,R. K. Singh Patel,SP,FALSE
2019,Uttar Pradesh,Banda,R. K. Singh Patel,BJP,Bhairon Prasad Mishra,BJP,FALSE
2024,Uttar Pradesh,Banda,Krishna Devi Shivshanker Patel,SP,R. K. Singh Patel,BJP,FALSE
2004,Uttar Pradesh,Bansgaon,Mahaveer Prasad,INC,,,
2009,Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,Mahaveer Prasad,INC,FALSE
2014,Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,Kamlesh Paswan,BJP,TRUE
2019,Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,Kamlesh Paswan,BJP,TRUE
2024,Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,Kamlesh Paswan,BJP,TRUE
2004,Uttar Pradesh,Bara Banki,Kamla Prasad,BSP,,,
2009,Uttar Pradesh,Barabanki,P. L. Punia,INC,,,
2014,Uttar Pradesh,Barabanki,Priyanka Singh Rawat,BJP,P. L. Punia,INC,FALSE
2019,Uttar Pradesh,Barabanki,Upendra Singh Rawat,BJP,Priyanka Singh Rawat,BJP,FALSE
2024,Uttar Pradesh,Barabanki,Tanuj Punia,INC,Upendra Singh Rawat,BJP,FALSE
2004,Uttar Pradesh,Bareilly,Santosh Gangwar,BJP,,,
2009,Uttar Pradesh,Bareilly,Praveen Singh Aron,INC,Santosh Gangwar,BJP,FALSE
2014,Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,Praveen Singh Aron,INC,FALSE
2019,Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,Santosh Kumar Gangwar,BJP,TRUE
2024,Uttar Pradesh,Bareilly,Chhatrapal Singh Gangwar,BJP,Santosh Kumar Gangwar,BJP,FALSE
2004,Uttar Pradesh,Basti,Lal Mani Prasad,BSP,,,
2009,Uttar Pradesh,Basti,Arvind Kumar Chaudhary,BSP,Lal Mani Prasad,BSP,FALSE
2014,Uttar Pradesh,Basti,Harish Chandra Alias Harish Dwivedi,BJP,Arvind Kumar Chaudhary,BSP,FALSE
2019,Uttar Pradesh,Basti,Harish Dwivedi,BJP,Harish Chandra Alias Harish Dwivedi,BJP,FALSE
2024,Uttar Pradesh,Basti,Ram Prasad Chaudhary,SP,Harish Dwivedi,BJP,FALSE
2009,Uttar Pradesh,Bhadohi,Gorakh Nath Pandey,BSP,,,
2014,Uttar Pradesh,Bhadohi,Virendra Singh,BJP,Gorakh Nath Pandey,BSP,FALSE
2019,Uttar Pradesh,Bhadohi,Ramesh Chand Bind,BJP,Virendra Singh,BJP,FALSE
2024,Uttar Pradesh,Bhadohi,Vinod Kumar Bind,BJP,Ramesh Chand Bind,BJP,FALSE
2004,Uttar Pradesh,Bijnor,Munshiram Singh,RLD,,,
2009,Uttar Pradesh,Bijnor,Sanjay Singh Chauhan,RLD,Munshiram Singh,RLD,FALSE
2014,Uttar Pradesh,Bijnor,Kunwar Bhartendra,BJP,Sanjay Singh Chauhan,RLD,FALSE
2019,Uttar Pradesh,Bijnor,Malook Nagar,BSP,Kunwar Bhartendra,BJP,FALSE
2024,Uttar Pradesh,Bijnor,Chandan Chauhan,RLD,Malook Nagar,BSP,FALSE
2004,Uttar Pradesh,Bilhaur,Raja Ram Pal,BSP,,,
2004,Uttar Pradesh,Budaun,Saleem Iqbal Shervani,SP,,,
2004,Uttar Pradesh,Bulandshahr,Kalyan Singh,BJP,,,
2009,Uttar Pradesh,Bulandshahr,Kamlesh Balmiki,SP,Kalyan Singh,BJP,FALSE
2014,Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,Kamlesh Balmiki,SP,FALSE
2019,Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,Bhola Singh,BJP,TRUE
2024,Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,Bhola Singh,BJP,TRUE
2004,Uttar Pradesh,Chail,Shailendra Kumar,SP,,,
2004,Uttar Pradesh,Chandauli,Kailash Nath Singh Yadav,BSP,,,
2009,Uttar Pradesh,Chandauli,Ramkishun,SP,Kailash Nath Singh Yadav,BSP,FALSE
2014,Uttar Pradesh,Chandauli,Mahendra Nath Pandey,BJP,Ramkishun,SP,FALSE
2019,Uttar Pradesh,Chandauli,Mahendra Nath Pandey,BJP,Mahendra Nath Pandey,BJP,TRUE
2024,Uttar Pradesh,Chandauli,Birendra Singh,SP,Mahendra Nath Pandey,BJP,FALSE
2004,Uttar Pradesh,Deoria,Mohan Singh,SP,,,
2009,Uttar Pradesh,Deoria,Gorakh Prasad Jaiswal,BSP,Mohan Singh,SP,FALSE
2014,Uttar Pradesh,Deoria,Kalraj Mishra,BJP,Gorakh Prasad Jaiswal,BSP,FALSE
2019,Uttar Pradesh,Deoria,Ramapati Ram Tripathi,BJP,Kalraj Mishra,BJP,FALSE
2024,Uttar Pradesh,Deoria,Shashank Mani,BJP,Ramapati Ram Tripathi,BJP,FALSE
2009,Uttar Pradesh,Dhaurahra,Jitin Prasada,INC,,,
2014,Uttar Pradesh,Dhaurahra,Rekha,BJP,Jitin Prasada,INC,FALSE
2019,Uttar Pradesh,Dhaurahra,Rekha Verma,BJP,Rekha,BJP,FALSE
2024,Uttar Pradesh,Dhaurahra,Anand Bhadauriya,SP,Rekha Verma,BJP,FALSE
2004,Uttar Pradesh,Domariaganj,Mohammed Muqueem,BSP,,,
2009,Uttar Pradesh,Domariyaganj,Jagdambika Pal,INC,,,
2014,Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,Jagdambika Pal,INC,TRUE
2019,Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,Jagdambika Pal,BJP,TRUE
2024,Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,Jagdambika Pal,BJP,TRUE
2004,Uttar Pradesh,Etah,Devendra Singh Yadav,SP,,,
2009,Uttar Pradesh,Etah,Kalyan Singh,IND,Devendra Singh Yadav,SP,FALSE
2014,Uttar Pradesh,Etah,Rajveer Singh,BJP,Kalyan Singh,IND,FALSE
2019,Uttar Pradesh,Etah,Rajveer Singh,BJP,Rajveer Singh,BJP,TRUE
2024,Uttar Pradesh,Etah,Devesh Shakya,SP,Rajveer Singh,BJP,FALSE
2004,Uttar Pradesh,Etawah,Raghuraj Singh Shakya,SP,,,
2009,Uttar Pradesh,Etawah,Premdas Katheria,SP,Raghuraj Singh Shakya,SP,FALSE
2014,Uttar Pradesh,Etawah,Ashok Kumar Doharey,BJP,Premdas Katheria,SP,FALSE
2019,Uttar Pradesh,Etawah,Ram Shankar Katheria,BJP,Ashok Kumar Doharey,BJP,FALSE
2024,Uttar Pradesh,Etawah,Jitendra Kumar Dohare,SP,Ram Shankar Katheria,BJP,FALSE
2004,Uttar Pradesh,Faizabad,Mitrasen Yadav,BSP,,,
2009,Uttar Pradesh,Faizabad,Nirmal Khatri,INC,Mitrasen Yadav,BSP,FALSE
2014,Uttar Pradesh,Faizabad,Lallu Singh,BJP,Nirmal Khatri,INC,FALSE
2019,Uttar Pradesh,Faizabad,Lallu Singh,BJP,Lallu Singh,BJP,TRUE
2024,Uttar Pradesh,Faizabad,Awadhesh Prasad,SP,Lallu Singh,BJP,FALSE
2004,Uttar Pradesh,Farrukhabad,Chandra Bhushan Singh,SP,,,
2009,Uttar Pradesh,Farrukhabad,Salman Khurshid,INC,Chandra Bhushan Singh,SP,FALSE
2014,Uttar Pradesh,Farrukhabad,Mukesh Rajput,BJP,Salman Khurshid,INC,FALSE
2019,Uttar Pradesh,Farrukhabad,Mukesh Rajput,BJP,Mukesh Rajput,BJP,TRUE
2024,Uttar Pradesh,Farrukhabad,Mukesh Rajput,BJP,Mukesh Rajput,BJP,TRUE
2004,Uttar Pradesh,Fatehpur,Mahendra Prasad Nishad,BSP,,,
2009,Uttar Pradesh,Fatehpur,Rakesh Sachan,SP,Mahendra Prasad Nishad,BSP,FALSE
2014,Uttar Pradesh,Fatehpur,Sadhavi Niranjan Jyoti,BJP,Rakesh Sachan,SP,FALSE
2019,Uttar Pradesh,Fatehpur,Niranjan Jyoti,BJP,Sadhavi Niranjan Jyoti,BJP,FALSE
2024,Uttar Pradesh,Fatehpur,Naresh Uttam Patel,SP,Niranjan Jyoti,BJP,FALSE
2009,Uttar Pradesh,Fatehpur Sikri,Seema Upadhyay,BSP,,,
2014,Uttar Pradesh,Fatehpur Sikri,Babulal,BJP,Seema Upadhyay,BSP,FALSE
2019,Uttar Pradesh,Fatehpur Sikri,Rajkumar Chahar,BJP,Babulal,BJP,FALSE
2024,Uttar Pradesh,Fatehpur Sikri,Rajkumar Chahar,BJP,Rajkumar Chahar,BJP,TRUE
2004,Uttar Pradesh,Firozabad,Ram Ji Lal Suman,SP,,,
2009,Uttar Pradesh,Firozabad,Akhilesh Yadav,SP,Ram Ji Lal Suman,SP,FALSE
2014,Uttar Pradesh,Firozabad,Akshay Yadav,SP,Akhilesh Yadav,SP,FALSE
2019,Uttar Pradesh,Firozabad,Chandra Sen Jadon,BJP,Akshay Yadav,SP,FALSE
2024,Uttar Pradesh,Firozabad,Akshay Yadav,SP,Chandra Sen Jadon,BJP,FALSE
2009,Uttar Pradesh,Gautam Buddh Nagar,Surendra Singh Nagar,BSP,,,
2019,Uttar Pradesh,Gautam Buddh Nagar,Mahesh Sharma,BJP,Surendra Singh Nagar,BSP,FALSE
2024,Uttar Pradesh,Gautam Buddh Nagar,Mahesh Sharma,BJP,Mahesh Sharma,BJP,TRUE
2014,Uttar Pradesh,Gautam Buddha Nagar,Dr.Mahesh Sharma,BJP,,,
2004,Uttar Pradesh,Ghatampur,Radhey Shyam Kori,SP,,,
2009,Uttar Pradesh,Ghaziabad,Rajnath Singh,BJP,,,
2014,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,BJP,Rajnath Singh,BJP,FALSE
2019,Uttar Pradesh,Ghaziabad,General Vijay Kumar Singh,BJP,Vijay Kumar Singh,BJP,FALSE
2024,Uttar Pradesh,Ghaziabad,Atul Garg,BJP,General Vijay Kumar Singh,BJP,FALSE
2004,Uttar Pradesh,Ghazipur,Afzal Ansari,SP,,,
2009,Uttar Pradesh,Ghazipur,Radhe Mohan Singh,SP,Afzal Ansari,SP,FALSE
2014,Uttar Pradesh,Ghazipur,Manoj Sinha,BJP,Radhe Mohan Singh,SP,FALSE
2019,Uttar Pradesh,Ghazipur,Afzal Ansari,BSP,Manoj Sinha,BJP,FALSE
2024,Uttar Pradesh,Ghazipur,Afzal Ansari,SP,Afzal Ansari,BSP,TRUE
2004,Uttar Pradesh,Ghosi,Chandradeo Prasad Rajbhar,SP,,,
2009,Uttar Pradesh,Ghosi,Dara Singh Chauhan,BSP,Chandradeo Prasad Rajbhar,SP,FALSE
2014,Uttar Pradesh,Ghosi,Harinarayan Rajbhar,BJP,Dara Singh Chauhan,BSP,FALSE
2019,Uttar Pradesh,Ghosi,Atul Rai,BSP,Harinarayan Rajbhar,BJP,FALSE
2024,Uttar Pradesh,Ghosi,Rajeev Rai,SP,Atul Rai,BSP,FALSE
2004,Uttar Pradesh,Gonda,Kirti Vardhan Singh,SP,,,
2009,Uttar Pradesh,Gonda,Beni Prasad Verma,INC,Kirti Vardhan Singh,SP,FALSE
2014,Uttar Pradesh,Gonda,Kirti Vardhan Singh,BJP,Beni Prasad Verma,INC,FALSE
2019,Uttar Pradesh,Gonda,Kirti Vardhan Singh,BJP,Kirti Vardhan Singh,BJP,TRUE
2024,Uttar Pradesh,Gonda,Kirti Vardhan Singh,BJP,Kirti Vardhan Singh,BJP,TRUE
2004,Uttar Pradesh,Gorakhpur,Yogi Adityanath,BJP,,,
2009,Uttar Pradesh,Gorakhpur,Yogi Adityanath,BJP,Yogi Adityanath,BJP,TRUE
2014,Uttar Pradesh,Gorakhpur,Yogi Adityanath,BJP,Yogi Adityanath,BJP,TRUE
2019,Uttar Pradesh,Gorakhpur,Ravi Kishan,BJP,Yogi Adityanath,BJP,FALSE
2024,Uttar Pradesh,Gorakhpur,Ravi Kishan,BJP,Ravi Kishan,BJP,TRUE
2004,Uttar Pradesh,Hamirpur,Rajnarayan Budholiya,SP,,,
2009,Uttar Pradesh,Hamirpur,Vijay Bahadur Singh,BSP,Rajnarayan Budholiya,SP,FALSE
2014,Uttar Pradesh,Hamirpur,Kunwar Pushpendra Singh Chandel,BJP,Vijay Bahadur Singh,BSP,FALSE
2019,Uttar Pradesh,Hamirpur,Pushpendra Singh Chandel,BJP,Kunwar Pushpendra Singh Chandel,BJP,FALSE
2024,Uttar Pradesh,Hamirpur,Ajendra Singh Lodhi,SP,Pushpendra Singh Chandel,BJP,FALSE
2004,Uttar Pradesh,Hapur,Surendra Prakash Goel,INC,,,
2004,Uttar Pradesh,Hardoi,Usha Verma,SP,,,
2009,Uttar Pradesh,Hardoi,Usha Verma,SP,Usha Verma,SP,TRUE
2014,Uttar Pradesh,Hardoi,Anshul Verma,BJP,Usha Verma,SP,FALSE
2019,Uttar Pradesh,Hardoi,Jai Prakash Rawat,BJP,Anshul Verma,BJP,FALSE
2024,Uttar Pradesh,Hardoi,Jai Prakash,BJP,Jai Prakash Rawat,BJP,FALSE
2004,Uttar Pradesh,Hathras,Kishan Lal Diler,BJP,,,
2009,Uttar Pradesh,Hathras,Sarika Singh,RLD,Kishan Lal Diler,BJP,FALSE
2014,Uttar Pradesh,Hathras,Rajesh Kumar Diwaker,BJP,Sarika Singh,RLD,FALSE
2019,Uttar Pradesh,Hathras,Rajvir Singh Diler,BJP,Rajesh Kumar Diwaker,BJP,FALSE
2024,Uttar Pradesh,Hathras,Anoop Pradhan,BJP,Rajvir Singh Diler,BJP,FALSE
2004,Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,,,
2009,Uttar Pradesh,Jalaun,Ghanshyam Anuragi,SP,Bhanu Pratap Singh Verma,BJP,FALSE
2014,Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,Ghanshyam Anuragi,SP,FALSE
2019,Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,Bhanu Pratap Singh Verma,BJP,TRUE
2024,Uttar Pradesh,Jalaun,Narayan Das Ahirwar,SP,Bhanu Pratap Singh Verma,BJP,FALSE
2004,Uttar Pradesh,Jalesar,S. P. Singh Baghel,SP,,,
2004,Uttar Pradesh,Jaunpur,Parasnath Yadav,SP,,,
2009,Uttar Pradesh,Jaunpur,Dhananjay Singh,BSP,Parasnath Yadav,SP,FALSE
2014,Uttar Pradesh,Jaunpur,Krishna Pratap,BJP,Dhananjay Singh,BSP,FALSE
2019,Uttar Pradesh,Jaunpur,Shyam Singh Yadav,BSP,Krishna Pratap,BJP,FALSE
2024,Uttar Pradesh,Jaunpur,Babu Singh Kushwaha,SP,Shyam Singh Yadav,BSP,FALSE
2004,Uttar Pradesh,Jhansi,Chandrapal Singh Yadav,SP,,,
2009,Uttar Pradesh,Jhansi,Pradeep Jain Aditya,INC,Chandrapal Singh Yadav,SP,FALSE
2014,Uttar Pradesh,Jhansi,Uma Bharti,BJP,Pradeep Jain Aditya,INC,FALSE
2019,Uttar Pradesh,Jhansi,Anurag Sharma,BJP,Uma Bharti,BJP,FALSE
2024,Uttar Pradesh,Jhansi,Anurag Sharma,BJP,Anurag Sharma,BJP,TRUE
2004,Uttar Pradesh,Kairana,Anuradha Choudhary,RLD,,,
2009,Uttar Pradesh,Kairana,Begum Tabassum Hasan,BSP,Anuradha Choudhary,RLD,FALSE
2014,Uttar Pradesh,Kairana,Hukum Singh,BJP,Begum Tabassum Hasan,BSP,FALSE
2019,Uttar Pradesh,Kairana,Pradeep Kumar Choudhary,BJP,Hukum Singh,BJP,FALSE
2024,Uttar Pradesh,Kairana,Iqra Choudhary,SP,Pradeep Kumar Choudhary,BJP,FALSE
2004,Uttar Pradesh,Kaiserganj,Beni Prasad Verma,SP,,,
2009,Uttar Pradesh,Kaiserganj,Brij Bhushan Sharan Singh,SP,Beni Prasad Verma,SP,FALSE
2014,Uttar Pradesh,Kaiserganj,Brij Bhusan Sharan Singh,BJP,Brij Bhushan Sharan Singh,SP,FALSE
2019,Uttar Pradesh,Kaiserganj,Brij Bhushan Sharan Singh,BJP,Brij Bhusan Sharan Singh,BJP,FALSE
2024,Uttar Pradesh,Kaiserganj,Karan Bhushan Singh,BJP,Brij Bhushan Sharan Singh,BJP,FALSE
2004,Uttar Pradesh,Kannauj,Akhilesh Yadav,SP,,,
2009,Uttar Pradesh,Kannauj,Akhilesh Yadav,SP,Akhilesh Yadav,SP,TRUE
2014,Uttar Pradesh,Kannauj,Dimple Yadav,SP,Akhilesh Yadav,SP,FALSE
2019,Uttar Pradesh,Kannauj,Subrat Pathak,BJP,Dimple Yadav,SP,FALSE
2024,Uttar Pradesh,Kannauj,Akhilesh Yadav,SP,Subrat Pathak,BJP,FALSE
2004,Uttar Pradesh,Kanpur,Sriprakash Jaiswal,INC,,,
2014,Uttar Pradesh,Kanpur,Dr.Murli Manohar Joshi,BJP,Sriprakash Jaiswal,INC,FALSE
2009,Uttar Pradesh,Kanpur Urban,Sriprakash Jaiswal,INC,,,
2019,Uttar Pradesh,Kanpur Urban,Satyadev Pachauri,BJP,Sriprakash Jaiswal,INC,FALSE
2024,Uttar Pradesh,Kanpur Urban,Ramesh Awasthi,BJP,Satyadev Pachauri,BJP,FALSE
2009,Uttar Pradesh,Kaushambi,Shailendra Kumar,SP,,,
2014,Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,Shailendra Kumar,SP,FALSE
2019,Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,Vinod Kumar Sonkar,BJP,TRUE
2024,Uttar Pradesh,Kaushambi,Pushpendra Saroj,SP,Vinod Kumar Sonkar,BJP,FALSE
2004,Uttar Pradesh,Khalilabad,Bhalchandra Yadava,BSP,,,
2004,Uttar Pradesh,Kheri,Ravi Prakash Verma,SP,,,
2009,Uttar Pradesh,Kheri,Zafar Ali Naqvi,INC,Ravi Prakash Verma,SP,FALSE
2014,Uttar Pradesh,Kheri,Ajay Kumar,BJP,Zafar Ali Naqvi,INC,FALSE
2019,Uttar Pradesh,Kheri,Ajay Kumar Mishra,BJP,Ajay Kumar,BJP,FALSE
2024,Uttar Pradesh,Kheri,Utkarsh Verma,SP,Ajay Kumar Mishra,BJP,FALSE
2004,Uttar Pradesh,Khurja,Ashok Kumar Pradhan,BJP,,,
2009,Uttar Pradesh,Kushi Nagar,R. P. N. Singh,INC,,,
2014,Uttar Pradesh,Kushi Nagar,Rajesh Pandey Urf Guddu,BJP,R. P. N. Singh,INC,FALSE
2019,Uttar Pradesh,Kushi Nagar,Vijay Kumar Dubey,BJP,Rajesh Pandey Urf Guddu,BJP,FALSE
2024,Uttar Pradesh,Kushi Nagar,Vijay Kumar Dubey,BJP,Vijay Kumar Dubey,BJP,TRUE
2004,Uttar Pradesh,Lalganj,Daroga Prasad Saroj,SP,,,
2009,Uttar Pradesh,Lalganj,Bali Ram,BSP,Daroga Prasad Saroj,SP,FALSE
2014,Uttar Pradesh,Lalganj,Neelam Sonkar,BJP,Bali Ram,BSP,FALSE
2019,Uttar Pradesh,Lalganj,Sangeeta Azad,BSP,Neelam Sonkar,BJP,FALSE
2024,Uttar Pradesh,Lalganj,Daroga Prasad Saroj,SP,Sangeeta Azad,BSP,FALSE
2004,Uttar Pradesh,Lucknow,Atal Bihari Vajpayee,BJP,,,
2009,Uttar Pradesh,Lucknow,Lalji Tandon,BJP,Atal Bihari Vajpayee,BJP,FALSE
2014,Uttar Pradesh,Lucknow,Raj Nath Singh,BJP,Lalji Tandon,BJP,FALSE
2019,Uttar Pradesh,Lucknow,Rajnath Singh,BJP,Raj Nath Singh,BJP,FALSE
2024,Uttar Pradesh,Lucknow,Rajnath Singh,BJP,Rajnath Singh,BJP,TRUE
2004,Uttar Pradesh,Machhlishahr,Umakant Yadav,BSP,,,
2009,Uttar Pradesh,Machhlishahr,Tufani Saroj,SP,Umakant Yadav,BSP,FALSE
2014,Uttar Pradesh,Machhlishahr,Ram Charitra Nishad,BJP,Tufani Saroj,SP,FALSE
2019,Uttar Pradesh,Machhlishahr,B. P. Saroj,BJP,Ram Charitra Nishad,BJP,FALSE
2024,Uttar Pradesh,Machhlishahr,Priya Saroj,SP,B. P. Saroj,BJP,FALSE
2004,Uttar Pradesh,Maharajganj,Pankaj Choudhary,BJP,,,
2009,Uttar Pradesh,Maharajganj,Harsh Vardhan,INC,Pankaj Choudhary,BJP,FALSE
2014,Uttar Pradesh,Maharajganj,Pankaj,BJP,Harsh Vardhan,INC,FALSE
2019,Uttar Pradesh,Maharajganj,Pankaj Choudhary,BJP,Pankaj,BJP,FALSE
2024,Uttar Pradesh,Maharajganj,Pankaj Chaudhary,BJP,Pankaj Choudhary,BJP,FALSE
